term,coefficient,std_error,p_value,rate_ratio,rate_ratio_low,rate_ratio_high
C(hour)[T.7]:airport[T.LGA],-0.45526342005332876,0.044609737049136525,1.8740780934696577e-24,0.634280863640956,0.5811787570961433,0.6922348917074463
C(hour)[T.8]:airport[T.LGA],0.13010853802394173,0.035598869284317054,0.00025733208810077487,1.1389519962151848,1.062193422166473,1.2212574683777768
C(hour)[T.9]:airport[T.LGA],0.41886422990993144,0.035699059356328965,8.613862324176893e-32,1.52023393847918,1.4175008542846974,1.630412581917037
C(hour)[T.10]:airport[T.LGA],0.18226150575322275,0.036249632770642796,4.95739350629271e-07,1.199927940914755,1.1176335308603997,1.2882819131951833
C(hour)[T.11]:airport[T.LGA],0.024802131013455353,0.03456740777338052,0.4730653520596809,1.0251122625309563,0.9579604907392273,1.0969712852984421
C(hour)[T.12]:airport[T.LGA],0.06855501013606785,0.03358689427430166,0.041238520725554235,1.070959536960437,1.0027296256685263,1.1438320963558166
C(hour)[T.13]:airport[T.LGA],-0.09639968239797925,0.0339858862385079,0.0045616374628802145,0.9081009915443748,0.8495820167804734,0.9706507371341411
C(hour)[T.14]:airport[T.LGA],0.08082676374201013,0.0302320029823161,0.007505314496545951,1.084183060480846,1.0218075090330687,1.150366285471849
C(hour)[T.15]:airport[T.LGA],-0.02227038146741428,0.032706646770995065,0.4959265321842137,0.9779757727754335,0.9172509030817827,1.0427208181777388
C(hour)[T.16]:airport[T.LGA],-0.049301449758961224,0.03084428805193876,0.10995441918117595,0.9518941381854044,0.8960535129916989,1.011214662042319
C(hour)[T.17]:airport[T.LGA],-0.01505453365337417,0.030334524243768774,0.619694178240624,0.9850582193148087,0.9281990193718311,1.0454004746701302
C(hour)[T.18]:airport[T.LGA],0.07342837387519513,0.03054117361418014,0.01620603885795904,1.0761914504880858,1.0136612471312758,1.1425789842330405
C(hour)[T.19]:airport[T.LGA],-0.04729827694649852,0.029862036978548785,0.11321802785457918,0.9538028577526717,0.8995804473772693,1.01129353590278
C(hour)[T.20]:airport[T.LGA],0.05904320417800257,0.02959890026545566,0.04606721173049365,1.060821071652517,1.001030956746647,1.1241823626707375
C(hour)[T.21]:airport[T.LGA],0.05331324177587915,0.030001767496928525,0.07556768630689918,1.054759988269869,0.9945258958217742,1.1186421967783786
